file,colourname,hexcolour
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-1125-2100.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-1275-600.jpg,bisque,#ffe4c4
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-1350-2325.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-1500-1050.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-150-1425.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-150-2700.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-1575-300.jpg,gray,#808080
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-1650-2775.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-1725-600.jpg,gray,#808080
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-1800-2475.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-2025-1800.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-2100-2475.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-2250-2550.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-225-150.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-2400-1425.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-2400-675.jpg,darkseagreen,#8fbc8f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-2475-2775.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-375-225.jpg,darkslategray,#2f4f4f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-450-2325.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-525-1650.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-525-2250.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_141806_49430450767_o.jpg-525-225.jpg,black,#000000
